Date,first,last,max,min,Monthly_Return
2025-05-31,2382.36,2614.1,2623.37,2382.36,9.727329202975188
2025-06-30,2577.03,2780.0,2800.0,2577.03,7.876120960951161
2025-07-31,2810.0,2880.0,2880.0,2630.0,2.491103202846978
2025-08-31,2980.0,3130.0,3420.0,2940.0,5.033557046979875
2025-09-30,3110.0,3060.0,3340.0,3050.0,-1.6077170418006381
2025-10-31,3060.0,3210.0,3400.0,2880.0,4.90196078431373
2025-11-30,3350.0,3510.0,3720.0,3350.0,4.7761194029850795
2025-12-31,3650.0,3480.0,3700.0,3410.0,-4.657534246575345
2026-01-31,3470.0,3600.0,3940.0,3450.0,3.746397694524495
2026-02-28,3500.0,3540.0,3650.0,3290.0,1.1428571428571344
2026-03-31,3450.0,3060.0,3450.0,2960.0,-11.304347826086957
2026-04-30,3150.0,2810.0,3210.0,2810.0,-10.793650793650789
2026-05-31,2890.0,2960.0,2960.0,2880.0,2.422145328719716
